Q101	Q102	HAGE	Q103	Q106	Q107	Q108	Q109	Q201	Q202	Q203	Q204	Q205	Q205_98_OTHER	Q205B	Q205C	Q206	Q207	Q207_98_OTHER	Q207B	Q207C	Q208	Q209	Q209A	HGROUP	Q301_1	Q301B	Q302_1	Q302_2	Q302_3	Q302_4	Q302_5	Q302_6	Q302_7	Q302_8	Q302_9	Q302_10	Q302_11	Q303	Q304	Q305	Q305DK_99	HQ305	Q401_3	Q401_2	Q401_1	Q401DK_98	Q402	Q403N_1	Q403N_2	Q403N_3	Q403N_4	Q403N_5	Q403N_6	Q403N_7	Q404	Q405	Q406	Q406A	Q407	Q601	Q602_1	Q602_2	Q602_3	Q602_4	Q602_5	Q602_6	Q602_7	Q602_8	Q602_9	Q602_10	Q602_11	Q602_12	Q602_13	Q1106B1	Q1106B2_1	Q1106B2_2	Q1106B2_3	Q1106B2_4	Q1106B2_5	Q1106B2_6	Q1106B2_7	Q1106B2_8	HQ700_1	HQ700_2	HQ700_3	HQ700_4	HQ700_5	HQ700_6	HQ700_7	HQ700_8	HXNEW1_10	HXNEW1_20	HXNEW1_30	HXNEW1_40	HXNEW2_10	HXNEW2_20	HXNEW2_30	HXNEW2_40	HXNEWORDER_1	HXNEWORDER_2	Q701X1A	Q701X1	Q703X1	Q704X1	Q701X2A	Q701X2	Q703X2	Q704X2	Q701X3A	Q701X3	Q703X3	Q704X3	Q701X4A	Q701X4	Q703X4	Q704X4	Q701X5	Q703X5	Q704X5	Q701X6A	Q701X6	Q703X6	Q704X6	Q701X7A	Q701X7	Q703X7	Q704X7	Q701X8	Q703X8	Q704X8	HQ700ORDER_1	HQ700ORDER_2	Q1101	Q1101_98_OTHER	Q1102	Q1103	Q1104	Q1105	Q1106	Q1107	Q1101F	Q1102F	Q1103F	Q1104F	Q1105F	Q1106F	HXADITIONALTIME_1	HXADITIONALTIME_2	HXADITIONALTIME_3	HXADITIONALTIME_4	HXADITIONALTIME_5	HXADITIONALTIME_6	HXADITIONALTIME_7	HXADITIONALTIME_8	HFROMTIME_1	HTOTIME_1	HTOTIME_2	HTOTIME_3	HTOTIME_4	HTOTIME_5	HTOTIME_6	HTOTIME_7	HTOTIME_8	LOIM	HXNEW1_5	HXNEW2_5	HXNEW1_50	HXNEW1_60	HXNEW2_50	HXNEW2_60	BIDS	ORIGSVYLANG	CENSUSRGN	ID
1	1995	1	1	3	1	5	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3:Respondent in NH currently Long term respondent	4	 	0	0	0	0	1	0	0	0	0	0	0	4	2	21	0	 	21	21	1	0	1	0	1	0	0	0	0	0	4	5	2	 	1	85	10	10	10	10	10	10	10	9	10	9	9	9	9	6	 	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	30	60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	5	 	 	 	 	1	1	1	5	 	 	 	5	7	1	 	1	21	2	1	4	1	 	 	 	 	 	 	 	 	 	 	30	 	60	 	30	 	 	 	 	60	 	90	 	10.7	0	0	0	0	0	1	1	0	9	1
2	1982	3	1	2	2	1	2	7	 	2	 	1	 	2	64	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	5	5	0	0	0	1	0	0	0	0	0	0	0	3	2	15	0	 	4	11	 	0	2	 	 	 	 	 	 	 	1	1	1	2	1	50	4	2	3	2	4	2	1	2	4	3	2	4	2	8	 	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	5	 	 	 	 	2	2	1	3	 	 	 	 	 	 	 	 	 	 	 	2	2	3	1	 	 	 	 	 	 	 	2	6	 	 	 	 	 	 	 	 	2	3	4	3	1	5	 	50	 	 	 	5	 	 	30	 	80	 	 	 	35	 	 	13.53	0	1	1	0	0	0	1	0	3	2
2	1963	4	1	8	2	1	5	7	 	2	 	1	 	1	85	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	5	5	0	0	0	0	0	1	1	0	0	1	0	2	2	20	0	 	5	2	2	0	2	 	 	 	 	 	 	 	2	4	2	 	2	65	6	5	5	7	5	6	6	6	6	5	6	7	8	2	 	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	30	40	 	 	 	 	 	 	 	 	1	1	2	4	2	2	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	 	 	 	 	 	 	 	 	1	2	0	 	2	4	 	 	30	40	 	 	 	 	30	 	 	60	70	 	 	 	 	13.99	0	0	0	0	0	0	1	0	6	3
2	1959	5	1	6	2	1	1	7	 	2	 	1	 	2	93	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	3	4	0	0	0	0	0	0	0	0	0	0	1	7	2	15	0	 	4	7	 	0	1	0	0	0	0	1	0	0	3	3	1	2	2	50	5	8	6	6	5	5	7	2	2	0	4	5	4	2	 	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	40	50	 	 	 	 	 	 	 	 	1	1	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	3	1	3	8	 	 	 	 	 	 	 	 	2	1	0	 	4	5	 	 	40	 	 	 	 	50	30	 	 	70	 	 	 	 	80	20.59	0	0	0	0	1	0	1	0	2	4
2	1985	2	1	8	2	3	1	7	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	5:Respondent in NH within last 6 mo short term	4	 	0	1	0	0	0	1	0	0	0	0	0	3	2	38	0	 	1	2	1	0	1	0	1	0	0	0	0	0	4	4	1	2	1	75	6	4	6	7	5	7	5	6	4	5	7	6	8	3	 	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	40	30	 	 	 	 	 	 	 	 	 	 	 	 	1	2	1	3	 	 	 	 	 	 	 	 	 	 	 	1	2	4	4	8	1	 	2	2	1	2	4	2	 	 	 	 	 	 	 	 	 	40	 	 	 	30	30	 	 	 	70	 	 	 	60	7.59	0	0	0	0	0	0	1	0	4	5
2	1966	4	1	8	1	1	6	7	 	2	 	1	 	1	87	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	3	3	0	0	0	0	0	1	0	0	0	0	0	1	2	60	0	 	 	2	 	0	2	 	 	 	 	 	 	 	1	3	2	 	2	55	7	7	7	6	7	7	6	7	5	4	7	6	7	6	 	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	40	30	 	 	 	 	1	1	2	3	 	 	 	 	2	2	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	 	 	 	 	 	 	 	 	1	1	0	 	1	3	 	40	 	30	 	 	 	 	30	 	70	 	60	 	 	 	 	26.01	0	0	0	0	0	0	1	0	9	6
2	1961	5	1	5	2	4	3	7	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	5:Respondent in NH within last 6 mo short term	5	 	1	0	0	0	0	0	0	0	0	1	0	7	2	10	0	 	 	 	3	0	2	 	 	 	 	 	 	 	5	5	2	 	1	100	7	10	10	10	10	10	10	10	10	9	10	10	10	5	 	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	30	50	1	2	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	5	 	 	 	 	 	 	 	6	1	5	 	2	1	6	1	5	2	 	 	 	 	 	 	50	 	 	 	 	30	 	 	30	80	 	 	 	 	60	 	 	12.13	0	0	0	0	1	0	1	0	5	7
2	1997	1	1	3	2	3	1	7	 	2	 	4	 	2	25	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	4	4	0	1	0	0	0	0	0	0	0	0	0	3	2	30	0	 	2	 	 	0	2	 	 	 	 	 	 	 	4	2	1	3	2	40	10	9	9	9	9	9	9	8	9	10	8	9	10	5	 	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	5	 	 	 	 	2	1	2	5	 	 	 	 	2	1	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	 	 	 	 	 	 	 	 	2	3	2	0	8	4	 	60	 	5	 	 	 	 	30	 	90	 	35	 	 	 	 	10.87	0	1	0	1	0	0	1	0	9	8
2	1964	4	1	6	2	1	3	7	 	2	 	1	 	2	70	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	4	5	0	0	0	0	0	1	0	0	0	0	0	2	2	10	0	 	4	8	3	0	2	 	 	 	 	 	 	 	3	4	2	 	1	80	8	8	8	10	10	8	10	10	10	10	10	10	8	2	 	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	30	50	 	 	 	 	1	1	2	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	5	2	8	 	 	 	 	 	 	 	 	3	1	2	14	3	5	 	30	 	 	 	 	 	50	30	 	60	 	 	 	 	 	80	33.01	0	0	0	0	1	0	1	0	2	9
2	1960	5	1	4	2	1	4	7	 	2	 	1	 	2	82	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	4	3	0	0	0	0	0	1	0	0	0	0	0	3	2	25	0	 	1	5	 	0	2	 	 	 	 	 	 	 	2	1	1	1	1	40	5	4	2	6	3	5	4	4	5	4	6	5	5	6	 	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	30	5	 	 	 	 	2	1	1	2	 	 	 	 	2	2	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	 	 	 	 	 	 	 	 	1	2	0	 	9	5	 	30	 	5	 	 	 	 	30	 	60	 	35	 	 	 	 	63.07	0	1	0	0	0	0	1	0	1	10
